price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price_category
13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished,1
12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished,1
4270000,,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished,0
12215000,7500,4,2,2,yes,no,yes,no,yes,,yes,furnished,1
11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished,1
4270000,7500,3,3,1,yes,no,yes,no,yes,,yes,semi-furnished,0
10150000,,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished,1
10150000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished,1
9870000,8100,4,1,2,yes,yes,yes,no,yes,,yes,furnished,1
4270000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished,0
9800000,,3,1,2,yes,no,yes,no,yes,2,yes,furnished,1
9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished,1
4270000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished,0
9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished,1
9240000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished,1
9100000,6000,,1,,yes,no,yes,no,no,2,no,semi-furnished,1
9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished,1
4270000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished,0
,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished,0
8855000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished,1
8750000,4320,3,,2,yes ,no,yes,yes,no,2,no,semi-furnished,1
8680000,7155,3,,1,yes,yes,yes,no,yes,2,no,unfurnished,1
8645000,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished,1
4270000,4560,3,2,2,yes,yes,yes,no,yes,,no,furnished,0
8575000,8800,3,2,2,yes,no,no,no,yes,2,no,furnished,1
4270000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished,0
8463000,6000,,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished,1
8400000,8875,3,,1,yes,no,no,no,no,1,no,semi-furnished,1
8400000,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished,1
8400000,5500,4,2,,yes,no,yes,no,yes,1,yes,semi-furnished,1
8400000,,3,,4,yes,no,no,no,yes,2,no,unfurnished,1
